model,features,accuracy,accuracy_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std
Linear SVM + word/char TF-IDF,word + char TF-IDF,0.7,0.04642207935665788,0.725283446712018,0.05422005322828911,0.7020294784580499,0.0461026843004216,0.6984481303256181,0.050433682961598704,0.6973421037241876,0.05117030538929276
Logistic Regression,word TF-IDF,0.6608695652173913,0.0447636093086391,0.693896103896104,0.05292033163929804,0.6589909297052154,0.040457092619098724,0.6596056403177146,0.04779505554017819,0.661352186572943,0.05029350395393166
Linear SVM,word TF-IDF,0.6608695652173913,0.05601782055097881,0.6862090290661719,0.06566730589963783,0.6575850340136054,0.05590036454826732,0.6567518775391399,0.05904370983544234,0.6594011414767909,0.05855312972821782
XGBoost,word TF-IDF,0.5782608695652174,0.08760626817221687,0.5888670852956567,0.08893659938400816,0.579126984126984,0.08094447581720486,0.5712673087883172,0.08291983526309464,0.5684305719855592,0.08806117090065586
SGD Classifier,word TF-IDF,0.5869565217391305,0.09015844066664225,0.656031746031746,0.12199766496932905,0.5887414965986395,0.08915649938018434,0.5708053904913701,0.09945494374547816,0.5711336305817394,0.10059007134775189
Random Forest,word TF-IDF,0.5956521739130435,0.04032008041519873,0.5923623995052567,0.07201877892747596,0.5824943310657597,0.03346587329224337,0.5665687528845423,0.04016720833465571,0.5748126688973372,0.04431340791750028
Multinomial NB,word TF-IDF,0.4695652173913044,0.042599821613620484,0.5801058285135832,0.09888255714615109,0.43088435374149653,0.03804807576251937,0.4219002467874648,0.04078846636345298,0.4376897193830832,0.04695447130202343
